No.	Drug	Pubchem id
1000	Camylofine dihydrochloride	23724817
1001	Dalbavancin	23724878
1002	Butorphanol-(+)-Tartrate	24840146
1003	Tracazolate hydrochloride	24871267
1004	Solithromycin	25242512
1005	Tranylcypromine Hemisulfate	25267092
1006	MCB3837	44201350
1007	Vinorelbine	44424639
1008	Lemofloxacin	45357079
1009	Ivermectin	46936176
1010	Ginsenoside Rb1	46937026
1011	Raltegravir	54671008
1012	Doxycycline	54671203
1013	Oxytetracycline	54675779
1014	Minocycline	54675783
1015	Dicumarol	54676038
1016	Piroxicam	54676228
1017	Acenocoumarol	54676537
1018	Meclocycline sulfosalicylate	54676538
1019	Meloxicam	54677470
1020	Warfarin	54678486
1021	Demeclocycline	54680690
1022	Oxytetracycline dihydrate	54680691
1023	Pyrvinium pamoate	54680693
1024	Chlortetracycline hydrochloride	54682468
1025	Methacycline hydrochloride	54685047
1026	Doxycycline hydrochloride	54685920
1027	Minocycline hydrochloride	54685925
1028	Demeclocycline hydrochloride	54686764
1029	Tigecycline 	54686904
1030	Tetracycline hydrochloride	54704426
1031	Lymecycline	54707177
1032	Novobiocin sodium salt	54730021
1033	Auranofin	70788951
1034	Epacadostat	135564890
1035	Teicoplanin	133065662
1036	Acyclovir Zovirax	135398513
1037	Valacyclovir	135398742
1038	Azaguanine-8	135403646
1039	Sildenafil citrate	135413523
1040	Ara G hydrate	135499520
1041	Carbadox	135511839
